reg_name,prov_name,2000,2001,2002
Cordillera Administrative Region,Abra,199.7,225.1,259.0
XIII - Caraga,Agusan del Norte,224.7,230.5,258.3
XIII - Caraga,Agusan del Sur,376.0,392.1,479.2
VI - Western Visayas,Aklan,237.5,245.7,276.2
V - Bicol Region,Albay,400.3,370.7,451.0
VI - Western Visayas,Antique,256.3,249.0,303.7
Cordillera Administrative Region,Apayao,172.6,158.2,227.8
III - Central Luzon,Aurora,192.5,174.1,219.0
Autonomous Region in Muslim Mindanao,Basilan,,220.1,238.0
III - Central Luzon,Bataan,256.1,263.8,287.2
II - Cagayan Valley,Batanes,97.9,99.1,111.3
IV-A - CALABARZON,Batangas,554.8,529.2,675.8
Cordillera Administrative Region,Benguet,242.4,230.3,262.7
VIII - Eastern Visayas,Biliran,133.8,126.2,152.1
VII - Central Visayas,Bohol,445.2,410.7,516.8
X - Northern Mindanao,Bukidnon,514.4,509.6,610.8
III - Central Luzon,Bulacan,557.3,580.9,771.1
II - Cagayan Valley,Cagayan,509.8,505.6,586.9
V - Bicol Region,Camarines Norte,253.9,250.2,286.1
V - Bicol Region,Camarines Sur,489.9,489.9,597.0
X - Northern Mindanao,Camiguin,117.4,106.3,126.2
VI - Western Visayas,Capiz,310.3,313.5,352.6
V - Bicol Region,Catanduanes,198.2,191.1,225.6
IV-A - CALABARZON,Cavite,550.0,485.9,678.5
VII - Central Visayas,Cebu,736.6,629.5,862.3
XI - Southern Mindanao,Compostela Valley,287.4,287.5,343.7
XI - Southern Mindanao,Davao del Norte,315.7,319.0,361.1
XI - Southern Mindanao,Davao del Sur,345.1,302.8,403.5
XI - Southern Mindanao,Davao Oriental,311.7,312.6,353.9
VIII - Eastern Visayas,Eastern Samar,280.9,252.2,331.5
VI - Western Visayas,Guimaras,124.0,127.5,147.9
Cordillera Administrative Region,Ifugao,192.7,190.1,218.1
I - Ilocos Region,Ilocos Norte,291.7,286.8,327.5
I - Ilocos Region,Ilocos Sur,320.9,282.0,346.6
VI - Western Visayas,Iloilo,582.2,497.0,657.8
II - Cagayan Valley,Isabela,618.4,617.8,717.1
Cordillera Administrative Region,Kalinga,215.1,211.1,239.0
I - Ilocos Region,La Union,284.6,374.7,322.2
IV-A - CALABARZON,Laguna,568.9,613.1,675.5
X - Northern Mindanao,Lanao del Norte,267.4,256.9,313.8
Autonomous Region in Muslim Mindanao,Lanao del Sur,398.0,389.9,555.1
VIII - Eastern Visayas,Leyte,611.2,634.2,661.2
Autonomous Region in Muslim Mindanao,Maguindanao,360.3,319.7,453.6
IV-B - MIMAROPA,Marinduque,143.4,162.0,186.1
V - Bicol Region,Masbate,330.5,326.5,393.6
X - Northern Mindanao,Misamis Occidental,242.2,256.7,286.1
X - Northern Mindanao,Misamis Oriental,287.1,274.0,350.6
Cordillera Administrative Region,Mt. Province,178.2,188.3,198.6
VI - Western Visayas,Negros Occidental,769.0,769.9,856.0
VII - Central Visayas,Negros Oriental,472.6,594.1,549.5
XII - Central Mindanao,North Cotabato,465.6,432.5,550.3
VIII - Eastern Visayas,Northern Samar,310.4,307.7,347.4
III - Central Luzon,Nueva Ecija,561.4,492.5,663.7
II - Cagayan Valley,Nueva Vizcaya,257.9,262.3,302.9
IV-B - MIMAROPA,Occidental Mindoro,286.3,285.5,344.1
IV-B - MIMAROPA,Oriental Mindoro,328.9,314.8,384.3
IV-B - MIMAROPA,Palawan,584.5,562.4,695.4
III - Central Luzon,Pampanga,456.0,422.7,582.4
I - Ilocos Region,Pangasinan,762.3,699.1,880.3
IV-A - CALABARZON,Quezon,645.0,639.7,728.2
II - Cagayan Valley,Quirino,194.8,186.6,228.6
IV-A - CALABARZON,Rizal,431.8,392.1,558.2
IV-B - MIMAROPA,Romblon,201.8,197.9,223.8
XII - Central Mindanao,Saranggani,249.5,247.5,290.7
VII - Central Visayas,Siquijor,115.3,110.3,137.5
V - Bicol Region,Sorsogon,289.7,284.0,339.3
XII - Central Mindanao,South Cotabato,304.9,283.7,377.6
VIII - Eastern Visayas,Southern Leyte,225.8,238.7,254.6
XII - Central Mindanao,Sultan Kudarat,315.6,312.4,372.1
Autonomous Region in Muslim Mindanao,Sulu,232.5,229.0,289.4
XIII - Caraga,Surigao del Norte,288.6,280.2,319.3
XIII - Caraga,Surigao del Sur,316.8,300.5,358.5
III - Central Luzon,Tarlac,358.8,369.1,450.5
Autonomous Region in Muslim Mindanao,Tawi-Tawi,159.7,166.9,246.6
VIII - Eastern Visayas,Western Samar,367.3,352.4,420.9
III - Central Luzon,Zambales,277.1,271.4,314.4
IX - Western Mindanao,Zamboanga del Norte,445.4,406.0,512.4
IX - Western Mindanao,Zamboanga del Sur,554.1,121.3,431.7
IX - Western Mindanao,Zamboanga Sibugay,,102.0,310.9
