reg_name,prov_name,2003,2004,2005,2006,2007,2008
Cordillera Administrative Region,Abra,271.2,271.2,291.3,318.8,348.1,396.3
XIII - Caraga,Agusan del Norte,269.7,269.8,288.9,314.7,342.0,385.6
XIII - Caraga,Agusan del Sur,502.3,502.4,541.2,593.6,652.2,740.9
VI - Western Visayas,Aklan,288.6,288.7,309.5,337.7,367.7,412.8
V - Bicol Region,Albay,472.2,472.2,508.8,556.9,610.4,681.6
VI - Western Visayas,Antique,317.5,317.5,340.7,371.8,405.3,454.6
Cordillera Administrative Region,Apayao,239.0,239.0,252.2,276.9,302.9,346.2
III - Central Luzon,Aurora,229.5,229.5,246.9,270.7,295.5,335.7
Autonomous Region in Muslim Mindanao,Basilan,249.5,249.5,268.7,294.6,322.0,372.4
III - Central Luzon,Bataan,300.5,300.5,323.0,353.0,385.2,449.3
II - Cagayan Valley,Batanes,116.5,116.5,124.9,136.6,147.3,167.1
IV-A - CALABARZON,Batangas,707.7,707.8,763.4,835.9,918.2,1078.4
Cordillera Administrative Region,Benguet,274.7,274.8,294.9,322.1,350.9,399.7
VIII - Eastern Visayas,Biliran,159.2,159.3,171.0,187.0,202.7,228.2
VII - Central Visayas,Bohol,541.2,541.3,583.2,638.5,700.5,780.1
X - Northern Mindanao,Bukidnon,640.6,640.7,691.2,758.7,835.1,960.1
III - Central Luzon,Bulacan,806.7,806.8,869.1,950.0,1037.0,1283.5
II - Cagayan Valley,Cagayan,614.6,614.7,661.8,724.6,795.5,892.8
V - Bicol Region,Camarines Norte,299.3,299.3,321.7,351.7,383.9,431.3
V - Bicol Region,Camarines Sur,625.4,625.5,674.5,739.0,811.9,905.5
X - Northern Mindanao,Camiguin,132.1,132.1,141.8,155.2,167.9,190.6
VI - Western Visayas,Capiz,368.4,368.5,395.5,431.3,470.4,521.7
V - Bicol Region,Catanduanes,234.7,234.7,249.9,270.5,291.7,325.0
IV-A - CALABARZON,Cavite,710.5,710.6,766.7,839.5,922.0,1230.0
VII - Central Visayas,Cebu,902.2,902.4,971.9,1062.6,1166.3,1240.6
XI - Davao Region,Compostela Valley,360.8,360.9,389.8,428.4,470.9,533.7
XI - Davao Region,Davao del Norte,379.0,379.0,409.6,450.1,494.7,570.5
XI - Davao Region,Davao del Sur,422.5,422.5,454.9,497.9,545.5,610.9
XI - Davao Region,Davao Oriental,370.7,370.7,398.9,436.9,478.5,541.5
XIII - Caraga,Dinagat Islands,,,,,192.7,222.0
VIII - Eastern Visayas,Eastern Samar,346.2,346.2,370.9,404.2,440.4,494.3
