prov_name,year,q10_dynasty_share,q50_dynasty_share,q90_dynasty_share,horizon,risk_tier,pi_width,dynasty_share_2022,delta_from_2022,trajectory
Abra,2023,32.89188003540039,35.12181091308594,37.05915069580078,2028,Moderate Risk,4.167270660400391,37.72241973876953,-2.6006088256835938,Decreasing
Abra,2024,32.76480484008789,35.16551971435547,37.423561096191406,2028,Moderate Risk,4.658756256103516,37.72241973876953,-2.5569000244140625,Decreasing
Abra,2025,32.650047302246094,35.15573501586914,37.64322662353515,2028,Moderate Risk,4.993179321289055,37.72241973876953,-2.56668472290039,Decreasing
Abra,2026,32.54957962036133,35.110755920410156,37.761112213134766,2028,Moderate Risk,5.2115325927734375,37.72241973876953,-2.611663818359375,Decreasing
Abra,2027,32.465999603271484,35.05059051513672,37.82360076904297,2028,Moderate Risk,5.357601165771484,37.72241973876953,-2.6718292236328125,Decreasing
Abra,2028,32.400394439697266,34.98963928222656,37.857025146484375,2028,Moderate Risk,5.456630706787109,37.72241973876953,-2.7327804565429688,Decreasing
Agusan Del Norte,2023,19.53619384765625,22.00201416015625,24.567407608032227,2028,Low Risk,5.031213760375977,22.794116973876953,-0.7921028137207031,Stable
Agusan Del Norte,2024,19.24823570251465,21.80294418334961,24.564430236816406,2028,Low Risk,5.316194534301758,22.794116973876953,-0.9911727905273438,Stable
Agusan Del Norte,2025,18.985610961914062,21.601316452026367,24.512460708618164,2028,Low Risk,5.526849746704102,22.794116973876953,-1.192800521850586,Stable
Agusan Del Norte,2026,18.786033630371097,21.42810440063477,24.444286346435547,2028,Low Risk,5.65825271606445,22.794116973876953,-1.366012573242184,Stable
Agusan Del Norte,2027,18.647607803344727,21.290332794189453,24.376123428344727,2028,Low Risk,5.728515625,22.794116973876953,-1.5037841796875,Stable
Agusan Del Norte,2028,18.55607795715332,21.18568992614746,24.31464385986328,2028,Low Risk,5.758565902709961,22.794116973876953,-1.6084270477294922,Stable
Agusan Del Sur,2023,25.579858779907227,28.633804321289062,32.631649017333984,2028,Low Risk,7.051790237426758,28.846153259277344,-0.2123489379882812,Stable
Agusan Del Sur,2024,25.213863372802734,28.503509521484375,32.86876678466797,2028,Low Risk,7.654903411865234,28.846153259277344,-0.3426437377929687,Stable
Agusan Del Sur,2025,24.78219223022461,28.276264190673828,32.93708801269531,2028,Low Risk,8.154895782470703,28.846153259277344,-0.5698890686035156,Stable
Agusan Del Sur,2026,24.410022735595703,28.04788589477539,32.92116165161133,2028,Low Risk,8.511138916015625,28.846153259277344,-0.7982673645019531,Stable
Agusan Del Sur,2027,24.129638671875,27.851356506347656,32.866310119628906,2028,Low Risk,8.736671447753906,28.846153259277344,-0.9947967529296876,Stable
Agusan Del Sur,2028,23.93180274963379,27.694204330444336,32.797447204589844,2028,Low Risk,8.865644454956055,28.846153259277344,-1.1519489288330078,Stable
Aklan,2023,31.23548698425293,33.50981903076172,35.81772994995117,2028,Moderate Risk,4.582242965698242,34.78260803222656,-1.2727890014648438,Stable
Aklan,2024,31.236488342285156,33.51115417480469,36.106407165527344,2028,Moderate Risk,4.8699188232421875,34.78260803222656,-1.271453857421875,Stable
Aklan,2025,31.439441680908203,33.82178497314453,36.61137008666992,2028,Moderate Risk,5.171928405761719,34.78260803222656,-0.9608230590820312,Stable
