prov_name,attention_weight_2014,attention_weight_2015,attention_weight_2016,attention_weight_2017,attention_weight_2018,attention_weight_2019,attention_weight_2020,attention_weight_2021,attention_weight_2022,forecast_horizon_year,encoder_year_start,encoder_year_end,encoder_length_actual
Abra,0.037199768337612515,0.050871553625057124,0.09581115627710914,0.11306819812055975,0.11647179462451206,0.12720110728142175,0.12681521191861006,0.11775160317678146,0.21480960663833618,2028,2014,2022,9
Agusan Del Norte,0.011809564382548004,0.013604015327308504,0.057889350675157214,0.06448260796834182,0.07780353848138831,0.11131344166801173,0.15116943658318413,0.20966808829862404,0.30225995661543625,2028,2014,2022,9
Agusan Del Sur,0.015186138451099304,0.017693934962153404,0.02669198997318741,0.04628551751375191,0.06945145875215532,0.08880573511123652,0.11615779250860213,0.13413828611373904,0.485589146614075,2028,2014,2022,9
Aklan,0.08120776410371944,0.10056604815400955,0.06416886805858953,0.07090902064334523,0.09449840730062094,0.10971736499229945,0.11540741788568286,0.11511487830002315,0.2484102305617099,2028,2014,2022,9
Albay,0.005856905230716101,0.009613549497950702,0.015204940246128404,0.033188701232333306,0.07052341221777851,0.12473030597450722,0.14906002831000884,0.14193952321532313,0.4498826340752539,2028,2014,2022,9
Antique,0.10540545888849283,0.14582383849954364,0.06410572773375701,0.08807859701035312,0.12308159653964033,0.06381806081262321,0.12423463350884073,0.15731506284050742,0.12813702416624162,2028,2014,2022,9
Apayao,0.05755623352273962,0.08338545355538082,0.14859545558503065,0.12024669153548584,0.13237278617982376,0.09156181692034693,0.11262772096253135,0.11944748271853795,0.13420635902012315,2028,2014,2022,9
Aurora,0.10228196074298204,0.09679340883522884,0.05607575672526253,0.06045065549981643,0.09729826015390784,0.14437090705167174,0.15644165174178848,0.15570148129605585,0.13058591795328625,2028,2014,2022,9
Basilan,0.04663391004030471,0.07342649196515613,0.060629210914453724,0.04496725242609342,0.050604283432630515,0.05634269821388492,0.10549873035029524,0.19152352071163414,0.3703739019455472,2028,2014,2022,9
Bataan,0.06510704367714863,0.11984135241262005,0.06786942077461353,0.07938599858367452,0.09350595810973893,0.11561043616471074,0.12013618677042805,0.11983057142313894,0.21871303208392667,2028,2014,2022,9
Batanes,0.08052116212510964,0.07910865132689064,0.06382114107349522,0.06711014010182782,0.09264259302244965,0.13230327571836917,0.15164255305008686,0.16733231267835058,0.16551817090342047,2028,2014,2022,9
Batangas,0.10622799824988845,0.10251657359252653,0.08815340435047733,0.06857764516539443,0.07120200779432033,0.12110169616038514,0.15115363445420166,0.16683867076520115,0.12422836946760504,2028,2014,2022,9
Benguet,0.11255234144472055,0.14741172947252607,0.14149653489898045,0.10034530310793804,0.07907092335608834,0.08697855958406454,0.09687135079886464,0.11214823686634785,0.12312502047046955,2028,2014,2022,9
Biliran,0.04138959944248192,0.09934577345848083,0.12327000498771666,0.09190847724676134,0.10459143668413164,0.11911135911941526,0.13151732087135315,0.14101624488830566,0.14784978330135345,2028,2014,2022,9
Bohol,0.06385780942281123,0.06312342058632622,0.03428413757254331,0.027500883052135414,0.03950072496571452,0.14237806360101027,0.19470325329940677,0.22290694962710472,0.21174475787294758,2028,2014,2022,9
Bukidnon,0.017383222719565602,0.023307832908882702,0.03617053337473191,0.06086299702874761,0.10871679655638943,0.12342147046355363,0.08755742416026831,0.057312192016176815,0.4852675307716839,2028,2014,2022,9
