prov_name,attention_weight_2014,attention_weight_2015,attention_weight_2016,attention_weight_2017,attention_weight_2018,attention_weight_2019,attention_weight_2020,attention_weight_2021,attention_weight_2022,forecast_horizon_year,encoder_year_start,encoder_year_end,encoder_length_actual
Abra,0.06273158639669413,0.05220306664705272,0.08063063025474544,0.07953241467475894,0.07811380922794343,0.06847122311592103,0.06946191191673273,0.07197214663028713,0.4368832111358645,2028,2014,2022,9
Agusan Del Norte,0.11255707456283805,0.08938173995533383,0.048630598853369816,0.05076459025570602,0.05580505292152572,0.16395220367984376,0.17629310599656695,0.18466506943864205,0.11795056433617374,2028,2014,2022,9
Agusan Del Sur,0.13506955341823165,0.14338751505636496,0.14612092424728196,0.12103667653437626,0.10353466803495574,0.04104579291506982,0.03924636980826492,0.03801245690039692,0.2325460430850578,2028,2014,2022,9
Aklan,0.18028378217989538,0.13409027257427167,0.09079949422479425,0.08674088736264574,0.08821798729571714,0.08847036825909664,0.09039769186977015,0.09328791360128054,0.14771160263252855,2028,2014,2022,9
Albay,0.04386920334837271,0.05494891667909821,0.029887304570579004,0.027560650378294804,0.027356599471683004,0.04187587880759341,0.045036262253946205,0.046969374929650205,0.6824958095607825,2028,2014,2022,9
Antique,0.10237169896395842,0.06796149833543413,0.21753860766956287,0.23248132803498217,0.24752008638322268,0.03180081361754821,0.03038412298577881,0.03092177550209561,0.03902006850741721,2028,2014,2022,9
Apayao,0.05260695193528152,0.03101411863243311,0.21317023237394397,0.2584943497413245,0.3148583799121753,0.029692096912228412,0.03146470739938972,0.03372931139291551,0.03496985170030821,2028,2014,2022,9
Aurora,0.042449194472642005,0.037280995443663006,0.02631418892247221,0.029369666135697907,0.03336105911408341,0.03723152359338331,0.037563119100694806,0.037302430761924306,0.719127822455439,2028,2014,2022,9
Basilan,0.06792170062369482,0.062001785710520514,0.06850984947792621,0.27369375056377626,0.27673784929282425,0.08548002263456661,0.07245802404202611,0.055288260999629614,0.03790875665503571,2028,2014,2022,9
Bataan,0.12301458521856293,0.15576114438229793,0.09150456904968632,0.07328321402532981,0.06737276560359182,0.10626083058248592,0.08355788450758761,0.07570703677870881,0.22353796985174876,2028,2014,2022,9
Batanes,0.12196115222631172,0.15435711809460653,0.10572585305980063,0.09008452162020622,0.08589748910222211,0.13720890675173844,0.11927262515913513,0.11164870691822902,0.07384362706775022,2028,2014,2022,9
Batangas,0.09333294421435273,0.08259560728231953,0.09044930136689613,0.10261973509297363,0.11097099383985264,0.11836355660043155,0.13717582515234145,0.14934301042535136,0.11514902602548094,2028,2014,2022,9
Benguet,0.14798849380050624,0.12048040716408474,0.11580209088915314,0.10639952551127894,0.10022895484480393,0.11030418842124375,0.10559405071753114,0.09781963831723813,0.09538265033416003,2028,2014,2022,9
Biliran,0.10897900746794033,0.10304497028820263,0.10545080743058313,0.10352153921840283,0.10064998864159003,0.12743627835160082,0.12882615433892372,0.12790247607376462,0.09418877818899182,2028,2014,2022,9
Bohol,0.06611421507256582,0.07058109132703862,0.06920750232912591,0.07105004575699432,0.07318237205796321,0.14970948846013882,0.15518334045459803,0.16160347576130993,0.18336846878026522,2028,2014,2022,9
Bukidnon,0.19253810953292094,0.19013602748310526,0.11999053329243463,0.07129020882710502,0.06305703426812531,0.06303728277925721,0.06545080892069921,0.06713434208729352,0.16736565280905882,2028,2014,2022,9
Bulacan,0.11483735737307744,0.10292518347146892,0.10510628867340074,0.11489270028286504,0.13036947762529297,0.08419312097615113,0.09324635824021313,0.10051608306458162,0.15391343029294904,2028,2014,2022,9
Cagayan,0.07638959529705641,0.06262897653409111,0.12472747173363363,0.13567379015927172,0.14943998940706263,0.07139828002901161,0.07403839324386122,0.07613018098376552,0.22957332261224606,2028,2014,2022,9
Camarines Norte,0.058282568833669314,0.03291055547851861,0.04020768761557451,0.046540785407495504,0.052216358288316514,0.15272486152974943,0.23158386263406336,0.32652968046616904,0.059003639746443716,2028,2014,2022,9
Camarines Sur,0.12587617056348535,0.11568408945908945,0.05513591196084213,0.056344478063036225,0.05787414928061923,0.14577948721246076,0.13313480914082806,0.12353092900967015,0.18663997530996868,2028,2014,2022,9
Camiguin,0.14764503749640562,0.17719389036164712,0.17245065716223942,0.16159122760914793,0.15414431289207123,0.041313408727966704,0.04180018867328271,0.04737833763789991,0.056482939439339214,2028,2014,2022,9
Capiz,0.018537990714352505,0.020904013848111004,0.04797959691289881,0.06276711809864802,0.08709938807953262,0.19934777878346335,0.24554623617688906,0.28903883641764755,0.02877904096845711,2028,2014,2022,9
Catanduanes,0.21253181835612794,0.09486099261894083,0.10168603731925753,0.11043866641492643,0.12192433981653793,0.08564864035212512,0.06921912678167871,0.06354308081013642,0.14014729753026892,2028,2014,2022,9
Cavite,0.229943102972839,0.225482246820545,0.0454790575251334,0.0442962555476928,0.0444870500085111,0.0469630790143058,0.0564999931864443,0.066368443281634,0.2404807716428947,2028,2014,2022,9
Cebu,0.08740173150000372,0.09423205116045402,0.10799845892193233,0.11150614751121182,0.11704332952136803,0.15399017700567572,0.10740846235441473,0.09478092052368933,0.12563872150125022,2028,2014,2022,9
Davao De Oro,0.016889854951019304,0.018202002752534904,0.029243476144159605,0.036496586417842904,0.04607392761718611,0.10462436630158933,0.12250807653166212,0.13810640316258363,0.48785530612142214,2028,2014,2022,9
Davao Del Norte,0.11719734309015682,0.12263149114423613,0.09623053741626843,0.10833190462240502,0.13704606992785684,0.09730023218169982,0.10684701879953602,0.11119328522081143,0.10322211759702953,2028,2014,2022,9
Davao Del Sur,0.08813162213661985,0.08988031811923024,0.11677956668123285,0.14368794965511525,0.16391043487124468,0.10222172813282704,0.07693070230581382,0.07609031406112243,0.14236736403679376,2028,2014,2022,9
Davao Occidental,0.021749507067780102,0.02422352423255991,0.026028633934039508,0.10543866022244162,0.11378360758159972,0.13732674673273262,0.15054353879278093,0.15914381752046003,0.26176196391560547,2028,2014,2022,9
Davao Oriental,0.10187716402571033,0.08757927687543343,0.12131813461638484,0.11873377417274664,0.11903278086212345,0.11752578923382655,0.11775796421773864,0.12153609389304765,0.09463902210298843,2028,2014,2022,9
Dinagat Islands,0.10188641171411253,0.10095664633162363,0.11376055820821462,0.11305420593051153,0.11149637896948203,0.10762142894518163,0.11465655756019302,0.11829662803642532,0.11827118430425562,2028,2014,2022,9
Eastern Samar,0.12726342203976884,0.08267526020574342,0.10980675705497124,0.14713766622775545,0.18585912190902534,0.12322652625938774,0.08716992709152672,0.07296414401515783,0.06389717519666342,2028,2014,2022,9
Guimaras,0.17848660744041472,0.13769891242538781,0.15734379780245733,0.14804720216778502,0.14192437491158952,0.06034154175185221,0.05521182469076701,0.05236395959419191,0.06858177921555432,2028,2014,2022,9
Ifugao,0.20896365304453735,0.28349732085329366,0.07821042486084581,0.06927406478193111,0.07804312953160121,0.06178100130940961,0.06692978440539012,0.07041431648667232,0.08288630472631882,2028,2014,2022,9
Ilocos Norte,0.13479747363943803,0.09329719146362012,0.10483418369038522,0.09760716575330751,0.09414247467052382,0.11828038705286481,0.13529044871848453,0.13789268300736823,0.08385799200400772,2028,2014,2022,9
Ilocos Sur,0.12305105855908813,0.12894744786776763,0.09218512200757491,0.09037010847419172,0.09136285360566221,0.09972008020519972,0.11002865105782003,0.11670253078035912,0.14763214744233652,2028,2014,2022,9
