prov_name,year,q10_dynasty_share,q50_dynasty_share,q90_dynasty_share,horizon
Abra,2023,30.873889923095703,33.35049057006836,36.372108459472656,2028
Abra,2024,32.21872329711914,35.09623718261719,38.36843490600586,2028
Abra,2025,33.02296829223633,35.97592544555664,39.05125045776367,2028
Abra,2026,33.31968688964844,36.290557861328125,39.20620346069336,2028
Abra,2027,33.42387771606445,36.42448043823242,39.2454719543457,2028
Abra,2028,33.46062088012695,36.49839782714844,39.25663757324219,2028
Agusan Del Norte,2023,19.360763549804688,22.328285217285156,24.964065551757812,2028
Agusan Del Norte,2024,19.271759033203125,22.244230270385742,25.035844802856445,2028
Agusan Del Norte,2025,19.24209976196289,22.18597984313965,25.066329956054688,2028
Agusan Del Norte,2026,19.23965072631836,22.151100158691406,25.050228118896484,2028
Agusan Del Norte,2027,19.237380981445312,22.127918243408203,25.020166397094727,2028
Agusan Del Norte,2028,19.232498168945312,22.110618591308594,24.988418579101562,2028
Agusan Del Sur,2023,22.883941650390625,24.76297378540039,26.757953643798828,2028
Agusan Del Sur,2024,22.80221176147461,25.040103912353516,27.37639808654785,2028
Agusan Del Sur,2025,22.779552459716797,25.319887161254883,27.935626983642578,2028
Agusan Del Sur,2026,22.762144088745117,25.49325942993164,28.247879028320312,2028
Agusan Del Sur,2027,22.734683990478516,25.589157104492188,28.403690338134766,2028
Agusan Del Sur,2028,22.70210838317871,25.646081924438477,28.484039306640625,2028
Aklan,2023,29.57304573059082,31.598363876342773,34.12298583984375,2028
Aklan,2024,30.059593200683594,32.72950744628906,36.0279426574707,2028
Aklan,2025,30.661928176879883,34.040462493896484,38.02909851074219,2028
Aklan,2026,31.123733520507812,34.909610748291016,39.11717987060547,2028
Aklan,2027,31.39583396911621,35.407073974609375,39.61607360839844,2028
Aklan,2028,31.551973342895508,35.714603424072266,39.86595153808594,2028
Albay,2023,17.782533645629883,20.34002113342285,24.02875328063965,2028
Albay,2024,18.41385841369629,22.011615753173828,27.31259536743164,2028
Albay,2025,19.845138549804688,24.133163452148438,30.385610580444336,2028
Albay,2026,20.93001937866211,24.907352447509766,30.597402572631836,2028
Albay,2027,21.278589248657227,24.959796905517578,29.98198127746582,2028
Albay,2028,21.391294479370117,24.961212158203125,29.636083602905273,2028
Antique,2023,27.04705047607422,28.916645050048828,30.878692626953125,2028
Antique,2024,27.252595901489258,29.594846725463867,31.848058700561523,2028
Antique,2025,27.354019165039062,29.958698272705078,32.34881591796875,2028
Antique,2026,27.392375946044922,30.14068031311035,32.56886672973633,2028
Antique,2027,27.40030288696289,30.24042320251465,32.66651153564453,2028
Antique,2028,27.395719528198242,30.304237365722656,32.7145881652832,2028
Apayao,2023,26.385292053222656,29.61147117614746,33.23651123046875,2028
Apayao,2024,26.35881996154785,30.338504791259766,34.99455261230469,2028
Apayao,2025,26.4669189453125,31.077056884765625,36.47866439819336,2028
Apayao,2026,26.559911727905273,31.564620971679688,37.264015197753906,2028
Apayao,2027,26.598800659179688,31.85576629638672,37.656890869140625,2028
Apayao,2028,26.604915618896484,32.04387664794922,37.88221740722656,2028
Aurora,2023,17.176307678222656,22.14938735961914,28.138826370239258,2028
Aurora,2024,18.11969566345215,24.971410751342773,34.3765869140625,2028
