prov_name,year,dynasty_share,gov_is_dynasty,vice_gov_is_dynasty,ira_funding_million_php,time_idx,poverty_incidence
Abra,2000,27.402135848999023,0,1,199.7,0,61.7
Abra,2001,32.384342193603516,1,0,225.1,1,57.86666666666667
Abra,2002,32.384342193603516,1,0,259.0,2,54.03333333333334
Abra,2003,32.384342193603516,1,0,271.2,3,50.2
Abra,2004,28.78228759765625,1,0,271.2,4,53.7
Abra,2005,28.78228759765625,1,0,291.3,5,57.2
Abra,2006,28.78228759765625,1,0,318.8,6,60.7
Abra,2007,32.10332107543945,0,1,348.1,7,56.733333333333334
Abra,2008,32.10332107543945,0,1,396.3,8,52.766666666666666
Abra,2009,32.10332107543945,0,1,468.13,9,48.8
Abra,2010,32.74021530151367,1,0,499.19,10,45.0
Abra,2011,32.74021530151367,1,0,540.54,11,41.199999999999996
Abra,2012,32.74021530151367,1,0,515.36,12,37.4
Abra,2013,35.587188720703125,1,1,563.24,13,34.56666666666666
Abra,2014,35.587188720703125,1,1,634.97,14,31.73333333333333
Abra,2015,35.587188720703125,1,1,723.3,15,28.9
Abra,2016,31.672597885131836,1,1,792.3,16,25.466666666666665
Abra,2017,31.672597885131836,1,1,885.5,17,22.033333333333335
Abra,2018,31.672597885131836,1,1,950.0,18,18.6
Abra,2019,33.09608459472656,1,1,1033.9,19,19.566666666666666
Abra,2020,33.09608459472656,1,1,1165.8,20,20.533333333333335
Abra,2021,33.09608459472656,1,1,1249.5,21,21.5
Abra,2022,37.72241973876953,1,1,1722.9,22,17.6
Agusan Del Norte,2000,17.1641788482666,1,1,224.7,0,51.6
Agusan Del Norte,2001,18.65671730041504,1,0,230.5,1,47.733333333333334
Agusan Del Norte,2002,18.65671730041504,1,0,258.3,2,43.86666666666667
Agusan Del Norte,2003,18.65671730041504,1,0,269.7,3,40.0
Agusan Del Norte,2004,15.441176414489746,1,1,269.8,4,40.0
Agusan Del Norte,2005,15.441176414489746,1,1,288.9,5,40.0
Agusan Del Norte,2006,15.441176414489746,1,1,314.7,6,40.0
Agusan Del Norte,2007,16.129032135009766,1,0,342.0,7,41.96666666666667
Agusan Del Norte,2008,16.129032135009766,1,0,385.6,8,43.93333333333333
Agusan Del Norte,2009,16.129032135009766,1,0,452.68,9,45.9
Agusan Del Norte,2010,16.91176414489746,1,1,481.83,10,42.166666666666664
Agusan Del Norte,2011,16.91176414489746,1,1,520.7,11,38.43333333333334
Agusan Del Norte,2012,16.91176414489746,1,1,497.15,12,34.7
Agusan Del Norte,2013,18.399999618530273,1,0,546.77,13,34.766666666666666
Agusan Del Norte,2014,18.399999618530273,1,0,614.48,14,34.833333333333336
Agusan Del Norte,2015,18.399999618530273,1,0,697.9,15,34.9
Agusan Del Norte,2016,24.264705657958984,0,0,762.9,16,31.4
Agusan Del Norte,2017,24.264705657958984,0,0,854.7,17,27.9
Agusan Del Norte,2018,24.264705657958984,0,0,915.8,18,24.4
Agusan Del Norte,2019,22.794116973876953,1,0,980.3,19,26.53333333333333
Agusan Del Norte,2020,22.794116973876953,1,0,1105.4,20,28.666666666666668
Agusan Del Norte,2021,22.794116973876953,1,0,1184.7,21,30.8
Agusan Del Norte,2022,22.794116973876953,1,1,1633.6,22,25.25
Agusan Del Sur,2000,19.60784339904785,0,0,376.0,0,64.4
Agusan Del Sur,2001,20.9150333404541,1,0,392.1,1,63.03333333333334
Agusan Del Sur,2002,20.9150333404541,1,0,479.2,2,61.666666666666664
Agusan Del Sur,2003,20.9150333404541,1,0,502.3,3,60.3
Agusan Del Sur,2004,16.339868545532227,1,0,502.4,4,58.93333333333333
Agusan Del Sur,2005,16.339868545532227,1,0,541.2,5,57.56666666666667
Agusan Del Sur,2006,16.339868545532227,1,0,593.6,6,56.2
Agusan Del Sur,2007,20.32520294189453,1,0,652.2,7,57.46666666666667
Agusan Del Sur,2008,20.32520294189453,1,0,740.9,8,58.733333333333334
Agusan Del Sur,2009,20.32520294189453,1,0,877.84,9,60.0
Agusan Del Sur,2010,21.794872283935547,1,0,934.94,10,56.03333333333333
